ticker,run_id,archive_record_id,generated_at,status,trial_signal_source,readiness_label,source_verification_status,promotion_blocking_categories,total_work_orders,buffett_interest_level,munger_interest_level,fisher_interest_level,lynch_interest_level,bogle_interest_level
MSFT,trial-2021-msft,MSFT-trial-2021,2021-06-30T00:00:00+00:00,completed,synthetic_trial_ledger,Needs Evidence,partially verified (placeholder-heavy),scuttlebutt;management_incentives;index_overlap,21,Watchlist Interest,Conditional Interest,Needs More Evidence,Watchlist Interest,Low Interest
AAPL,trial-2021-aapl,AAPL-trial-2021,2021-06-30T00:00:00+00:00,completed,synthetic_trial_ledger,Needs Evidence,partially verified (placeholder-heavy),scuttlebutt;management_incentives;index_overlap,21,Watchlist Interest,Conditional Interest,Needs More Evidence,Watchlist Interest,Low Interest
NVDA,trial-2021-nvda,NVDA-trial-2021,2021-06-30T00:00:00+00:00,completed,synthetic_trial_ledger,Needs Evidence,partially verified (placeholder-heavy),scuttlebutt;management_incentives;index_overlap,21,Watchlist Interest,Conditional Interest,Needs More Evidence,Watchlist Interest,Low Interest
COST,trial-2021-cost,COST-trial-2021,2021-06-30T00:00:00+00:00,completed,synthetic_trial_ledger,Needs Evidence,partially verified (placeholder-heavy),scuttlebutt;management_incentives;index_overlap,21,Watchlist Interest,Conditional Interest,Needs More Evidence,Watchlist Interest,Low Interest
MSFT,trial-2022-msft,MSFT-trial-2022,2022-06-30T00:00:00+00:00,completed,synthetic_trial_ledger,Research Ready,partially verified (mixed),scuttlebutt;management_incentives;index_overlap,18,Watchlist Interest,Conditional Interest,Needs More Evidence,Watchlist Interest,Low Interest
AAPL,trial-2022-aapl,AAPL-trial-2022,2022-06-30T00:00:00+00:00,completed,synthetic_trial_ledger,Research Ready,partially verified (mixed),scuttlebutt;management_incentives;index_overlap,18,Watchlist Interest,Conditional Interest,Needs More Evidence,Watchlist Interest,Low Interest
NVDA,trial-2022-nvda,NVDA-trial-2022,2022-06-30T00:00:00+00:00,completed,synthetic_trial_ledger,Research Ready,partially verified (mixed),scuttlebutt;management_incentives;index_overlap,18,Watchlist Interest,Conditional Interest,Needs More Evidence,Watchlist Interest,Low Interest
COST,trial-2022-cost,COST-trial-2022,2022-06-30T00:00:00+00:00,completed,synthetic_trial_ledger,Research Ready,partially verified (mixed),scuttlebutt;management_incentives;index_overlap,18,Watchlist Interest,Conditional Interest,Needs More Evidence,Watchlist Interest,Low Interest
MSFT,trial-2023-msft,MSFT-trial-2023,2023-06-30T00:00:00+00:00,completed,synthetic_trial_ledger,Ready for Investor Review,partially verified (mixed),scuttlebutt;management_incentives;index_overlap,15,Watchlist Interest,Conditional Interest,Needs More Evidence,Watchlist Interest,Low Interest
AAPL,trial-2023-aapl,AAPL-trial-2023,2023-06-30T00:00:00+00:00,completed,synthetic_trial_ledger,Ready for Investor Review,partially verified (mixed),scuttlebutt;management_incentives;index_overlap,15,Watchlist Interest,Conditional Interest,Needs More Evidence,Watchlist Interest,Low Interest
NVDA,trial-2023-nvda,NVDA-trial-2023,2023-06-30T00:00:00+00:00,completed,synthetic_trial_ledger,Ready for Investor Review,partially verified (mixed),scuttlebutt;management_incentives;index_overlap,15,Watchlist Interest,Conditional Interest,Needs More Evidence,Watchlist Interest,Low Interest
COST,trial-2023-cost,COST-trial-2023,2023-06-30T00:00:00+00:00,completed,synthetic_trial_ledger,Ready for Investor Review,partially verified (mixed),scuttlebutt;management_incentives;index_overlap,15,Watchlist Interest,Conditional Interest,Needs More Evidence,Watchlist Interest,Low Interest
